token,fullname,symbol,coingecko_id
WVTRS,Vitreus,WVTRS,vitreus
TRIBESTERS,Tribesters,TRIBESTERS,
RIZE,RIZE,RIZE,
LIMITLESS,Limitless,LIMITLESS,
RESOLV,Resolv Labs,RESOLV,
BOYSCLUB,Matt Furie's Boys Club,BOYSCLUB,matt-furie-s-boys-club
SAFARY,Safary,SAFARY,
SUIPLAY,SuiPlay,SUIPLAY,
FRRE,Forgotten Runiverse Real Estate,FRRE,
MELLOWPROTOCOL,Mellow Protocol,MELLOWPROTOCOL,
FNX,Fenix,FNX,
AVIVE,Avive,AVIVE,avive
AVNU,AVNU,AVNU,
CARBZ,Carbonable,CARBZ,
JITOSOL,Jito Staked SOL,JITOSOL,jito-staked-sol
COINBASEWALLET,Coinbase Wallet,COINBASEWALLET,
STARKDEFI,StarkDeFi,STARKDEFI,
IQLUSION,iqlusion,IQLUSION,
ARITHMIC,Arithmic Network,ARITHMIC,
SITH,SithSwap,SITH,
MYSWAP,mySwap,MYSWAP,
HASH,Provenance Blockchain,HASH,
OILER,Oiler,OILER,
EXPECTIUMEXPECTIUM,Expectium,EXPECTIUM,
BOUNTIVE,Bountive,BOUNTIVE,
CHEDAO,CheDAO,CHEDAO,
TRIBALLY,Tribally,TRIBALLY,
CHAKRA,Chakra,CHAKRA,
VIBES,vibe shift,VIBES,vibe-shift
SPACESHARD,SpaceShard,SPACESHARD,
TANSSINETWORK,Tanssi Network,TANSSINETWORK,
MOSO,moso,MOSO,
SALUSSECURITY,Salus Security,SALUSSECURITY,
STARKLINK,StarkLink,STARKLINK,
DEOXYS,Deoxys,DEOXYS,
TRIALITY,Triality,TRIALITY,
VXVS,Venus XVS,VXVS,venus-xvs
vUSDT,Venus USDT,vUSDT,venus-usdt
HEX,HEX,HEX,hex
CETI,Ceτi,CETI,tao-ceti
SOUK,Souk,SOUK,
DOPP,DOPP,DOPP,
POLYNOMIAL,Polynomial,POLYNOMIAL,
SEC3,sec3,SEC3,
THT,Thought,THT,thought
SEDA,SEDA Protocol,FLX,flux-token
BODEN,Jeo Boden,BODEN,jeo-boden
CUTE,PEPE UWU,CUTE,pepe-uwu
BONSAI,Bonsai Token,BONSAI,bonsai-token
ODG,Open Dollar Governance,ODG,open-dollar-governance
HARAMBE,Harambe on Solana,HARAMBE,harambe-2
$LOCKIN,LOCK IN,$LOCKIN,lock-in
NEIRO,Neiro on ETH,NEIRO,neiro-on-eth
PUPSPUPSWORLDPEACE,PUPS•WORLD•PEACE,PUPS,rune-pups
IPOR,IPOR,IPOR,ipor
PUFETH,Puffer Finance,PUFFER,puffer-finance
GOATGOATSEUSMAXIMUS,Goatseus Maximus,GOAT,goatseus-maximus
SCROLL,Scroll,SCR,scroll
ORDERLYNETWORK,Orderly Network,ORDER,orderly-network
MOVEMENT,Movement Labs,MOVE,movement
MANIFEST,Manifest,MANIFEST,manifest-on-sol
DEXX,DEXX,DEXX,
INSOMNIA,Insomnia Labs,INSOMNIA,
FHENIX,Fhenix,FHENIX,
RAADLABS,Raad Labs,RAADLABS,
ALIGNEDLAYER,Aligned Layer,ALIGNEDLAYER,
UWUUNICORN,Unicorn,UWU,unicorn-3
ITO,ITO,$ITO,ito
MARS,Mars,MARS,mars-2
SPROTO,Sproto Gremlins,SPROTO,
BIS,Believe In Something,BIS,believe-in-something
CREEPZ,Creepz,CREEPZ,
OPEPEN,Opepen Edition,OPEPEN,
HAT,Top Hat,HAT,top-hat
TRADEMARK,Trademark by Jack Butcher,TRADEMARK,
INFINIT,Infinit,INFINIT,
ROUTESCAN,Routescan,ROUTESCAN,
NRN,Neuron,NRN,neuron
NPT,Neopin,NPT,neopin
PHOTON,Photon,PHOTON,
SCIHUB,SciHub,SCIHUB,sci-hub
MINT,Mint,MINT,
KAPPY,Kappy,KAPPY,kappy
REDBRICK,Redbrick,REDBRICK,
DEMEX,Demex,DEMEX,
IMF,International Meme Fund,IMF,international-meme-fund
AUKI,Auki,AUKI,auki-labs
REIUNIT00-REI,Unit 00 - Rei,REI,unit-00-rei
HAIYEZ,hAIyez,HAIYEZ,
ISLAND,ISLAND Token,ISLAND,island-token
TRISIG,Tri Sigma,TRISIG,tri-sigma
LMT,LIMITUS,LMT,limitus
SPORE,Spore,SPORE,spore-2
HYPERBRIDGE,Hyperbridge,HYPERBRIDGE,hyperbridge-2
PLUME,Plume Network,PLUME,plume
AOF,Arena of Faith,AOF,arena-of-faith
ARTELA,Artela,ARTELA,artela-network
LVLUSD,Level USD,LVLUSD,level-usd
HENLO,Henlo,HENLO,henlo-2
HYPE,Hype,HYPE,
GAMEPLAN,Gameplan,GAMEPLAN,
D,Dar Open Network,D,dar-open-network
DUCK,DuckChain,DUCK,duckchain-token
MOE,Moemate,MOE,
REDACTED,Redacted,REDACTED,
SILOSILO,Silo,SILO,
SURGE,Surge,SURGE,
TRN,t3rn,TRN,t3rn
PHARAOH,Pharaoh,PHARAOH,pharaoh
ROYCO,Royco,ROYCO,
BITCOINOS,BitcoinOS,BITCOINOS,
VINE,Vine,VINE,vine
KINTO,Kinto,KINTO,
LAGRANGELABS,Lagrange Labs,LAGRANGELABS,
MYSHELL,MyShell,SHELL,myshell
NOISE,Noise,NOISE,
KAITO,Kaito,KAITO,kaito
DIN,DIN,DIN,din
YAPSTER,yapster,YAPSTER,yapster
GAMERBOOM,GamerBoom,GAMERBOOM,
GPS,GoPlus Security,GPS,goplus-security
TAOVALIDATOR,TAOValidator,TAOVALIDATOR,
BYTHEN,bythen,BYTHEN,
ANTAUTONOMI,Autonomi,ANT,autonomi
USDT0,USDT0,USDT0,usdt0
HUMAFINANCE,Huma Finance,HUMAFINANCE,huma-finance
TARI,Tari,TARI,
SKATE,Skate,SKATE,skate
BEDROCK,Bedrock,BEDROCK,bedrock-2
IQ,IQ,IQ,everipedia
VULT,Vultisig,VULT,vultisig
KTA,Keeta,KTA,keeta
TAKOPROTOCOL,Tako Protocol,TAKOPROTOCOL,
RECALL,Recall,RECALL,
ANICHESS,Anichess,ANICHESS,
GENOME,Genome,GENOME,
FRACTION,Fraction,FRACTION,
INITIA,Initia,INIT,initia
SPACEANDTIME,Space and Time,SPACEANDTIME,space-and-time
AIRDROPACRES,Airdrop Acres,AIRDROPACRES,
AGIXT,AGiXT,AGIXT,agixt
UOMI,Uomi,UOMI,uomi
PACIFICA,Pacifica,PACIFICA,
INCEPTION,Inception,INCEPTION,
SUPERSUPERPROTOCOL,Super Protocol,SUPER,
HOUSE,Housecoin,HOUSE,housecoin-2
AVAAVAAI,Ava AI,AVA,ava-ai
DOGEOS,DogeOS,DOGEOS,
TIMEFUN,timefun,TIMEFUN,
NOBLE,Noble,NOBLE,
AITECH,AITECH,AITECH,
YAPMARKET,Yapmarket,YAPMARKET,
MOXIE,Moxie,MOXIE,moxie
SCF,Smoking Chicken Fish,SCF,smoking-chicken-fish
AMC,AMC,AMC,amc-3
LANDWU,Land Wu,LANDWU,land-wu
ZEUSZEUS,Zeus,ZEUS,zeuspepesdog
LMEOW,lmeow,LMEOW,lmeow-2
NATIX,NATIX Network,NATIX,natix-network
SIS,Symbiosis,SIS,symbiosis-finance
SCSHARKCAT,Shark Cat,SC,shark-cat
NIM,Nim Network,NIM,nim-network
IONX,Charged Particles,IONX,charged-particles
NFTFINFTFI,NFTFI,NFTFI,nftfi
NPC,Non-Playable Coin,NPC,non-playable-coin
QODA,QODA,QODA,qoda
MONKEMONKE,Monke,MONKE,monkeonbase
MINI,mini,MINI,minimini
BEER,Beercoin,BEER,beercoin-2
ACQ,Acquire.Fi,ACQ,acquire-fi
SXPSOLAR,Solar,SXP,swipe
L3,Layer3,L3,layer3
BRRR,Burrow,BRRR,burrow
ZEND,zkLend,ZEND,zklend-2
MONMONPROTOCOL,MON Protocol,MON,mon-protocol
HAMMY,SAD HAMSTER,HAMMY,sad-hamster
TREMP,Doland Tremp,TREMP,donald-tremp
EXTRA,Extra Finance,EXTRA,extra-finance
FPFRENPET,Fren Pet,FP,frenpet
FJO,Fjord Foundry,FJO,fjord-foundry
PIXEL,Pixels,PIXEL,pixels
ATR,Artrade,ATR,artrade
PSTAKE,pSTAKE Finance,PSTAKE,pstake-finance
SHFL,Shuffle,SHFL,shuffle-2
HAVA,Hava Coin,HAVA,hava-coin
SANCTUM,sanctum,CLOUD,sanctum-2
ARCX,Architex,ARCX,architex
POPCAT,Popcat,POPCAT,popcat
SAIL,Clipper SAIL,SAIL,sail-2
ORBSORBSNETWORK,Orbs Network,ORBS,orbs
ORA,ORA Protocol,ORA,ora-coin
SOV,Sovryn,SOV,sovryn
AIDOGE,ArbDoge AI,AIDOGE,arbdoge-ai
QOM,Shiba Predator,QOM,shiba-predator
GET,GET Protocol,GET,get-token
ASTRO,Astroport,ASTRO,astroport-fi
IONET,IO.NET,IO,io
RVST,Revest Finance,RVST,revest-finance
SHU,Shutter,SHU,shutter
MOBY,Moby,MOBY,moby
MOR,Morpheus,MOR,morpheusai
LENDS,Lends,LENDS,lends
SAGA,Saga,SAGA,saga-2
POLYHEDRA,Polyhedra Network,ZKJ,polyhedra-network
POINTS,Points,POINTS,points
1CAT,Bitcoin Cats,1CAT,bitcoin-cats
DMAIL,Dmail Network,DMAIL,dmail-network
PEAS,Peapods Finance,PEAS,peapods-finance
BEVM,BEVM,BEVM,bridged-wrapped-btc-bevm
NUUM,MNet,NUUM,mnet-continuum
HOLD,Holdstation,HOLD,holdstation
OCTA,OctaSpace,OCTA,octaspace
HOOKPROTOCOL,Hook Protocol,HOOK,hooked-protocol
KREST,Krest Network,KREST,krest
PEAQ,peaq,PEAQ,peaq-2
WHALES,Whales Market,WHALES,whales-market
FOLD,Manifold Finance,FOLD,manifold-finance
EGG,Nestree,EGG,nestree
DVPN,Sentinel,DVPN,sentinel
KP3R,Keep3rV1,KP3R,keep3rv1
WAIT,Hourglass,WAIT,hourglass
CRU,Crust Network,CRU,crust-network
BZZ,Swarm,BZZ,swarm-bzz
WHITE,Whiteheart,WHITE,whiteheart
WOJAK,Wojak,WOJAK,wojak
KATA,Katana Inu,KATA,katana-inu
GHO,GHO,GHO,gho
RSV,Reserve,RSV,
BSGG,Betswap.gg,BSGG,betswap-gg
FLEX,FLEX,FLEX,flex-coin
CCD,Concordium,CCD,concordium
RVF,RocketX exchange,RVF,rocketx
TABOO,Taboo Token,TABOO,taboo-token
IMGNAI,Image Generation AI,IMGNAI,imgnai
KILT,Kilt Protocol,KILT,kilt-protocol
MEMETOON,MEMETOON,MEME,memetoon
JEWEL,DeFi Kingdoms,JEWEL,defi-kingdoms
ZCX,Unizen,ZCX,unizen
DERC,DeRace,DERC,derace
EVMOS,Evmos,EVMOS,evmos
ORAI,Oraichain,ORAI,oraichain-token
XPLA,XPLA,XPLA,xpla
ROUTE,Router Protocol,ROUTE,route
LYRA,Lyra Finance,LYRA,lyra-finance
ASTRAFER,Astrafer,ASTRAFER,astrafer
ALI,Artificial Liquid Intelligence,ALI,alethea-artificial-liquid-intelligence-token
HPO,Hippocrat,HPO,humanscape
HELLO,HELLO Labs,HELLO,hello-labs
INST,Instadapp,INST,instadapp
KUB,Bitkub Coin,KUB,bitkub-coin
SIDUS,SIDUS,SIDUS,sidus
SGB,Songbird,SGB,songbird
CORGIAI,CorgiAI,CORGIAI,corgiai
TKX,Tokenize Xchange,TKX,tokenize-xchange
HBB,Hubble,HBB,hubble
MUBI,MultiBit,MUBI,multibit
NAKA,Nakamoto Games,NAKA,nakamoto-games
CPOOL,Clearpool,CPOOL,clearpool
WALV,Alvey Chain,WALV,alvey-chain
FINE,fine,FINE,fine
SHRAP,Shrapnel,SHRAP,shrapnel-2
GF,GuildFi,GF,guildfi
FLIP,Chainflip,FLIP,chainflip
SUPERMARKET,supermarket,SUPER,supermarket
BANANAGUN,Banana gun,BANANA,banana-gun
FORT,Forta,FORT,forta
SYN,Synapse,SYN,synapse-2
TRC,MetaTrace,TRC,metatrace
AMB,AirDAO,AMB,amber
PHB,Phoenix,PHB,phoenix-global
POLYX,Polymesh,POLYX,polymesh
GODS,Gods Unchained,GODS,gods-unchained
PLU,Pluton,PLU,pluton
INDEX,Index Cooperative,INDEX,index-cooperative
ATA,Automata,ATA,automata
SWFTC,SwftCoin,SWFTC,swftcoin
TOKEN,TokenFi,TOKEN,tokenfi
MDT,META DANCE,MDT,measurable-data-token
SFI,saffron.finance,SFI,saffron-finance
SDT,Stake DAO,SDT,stake-dao
POOL,PoolTogether,POOL,pooltogether
HONEY,Hivemapper,HONEY,hivemapper
ACX,Across Protocol,ACX,across-protocol
LORDS,LORDS,LORDS,lords
GRS,Groestlcoin,GRS,groestlcoin
BALD,BALD,BALD,bald
AMKT,Alongside Crypto Market Index,AMKT,alongside-crypto-market-index
AGI,Delysium,AGI,delysium
ATOR,ATOR Protocol,ATOR,airtor-protocol
CREAM,Cream Finance,CREAM,cream-2
ID,SPACE ID,ID,space-id
ITHACA,Ithaca Protocol,ITHACA,ithaca-protocol
UFD,Unicorn Fart Dust,UFD,unicorn-fart-dust
FAI,Freysa AI,FAI,freysa-ai
SYNT,Synternet,SYNT,synternet-synt
LOFI,LOFI,LOFI,lofi-2
SKI,SKI MASK DOG,SKI,ski-mask-dog
NEXTEVERCLEAR(PREVCONNEXT),Everclear (prev Connext),NEXT,
AIXBT,aixbt by Virtuals,AIXBT,aixbt
BULLY,Dolos The Bully,BULLY,dolos-the-bully
FOREST,FOREST,FOREST,forest
TALENT,Talent Protocol,TALENT,talent-protocol
LBTC,Lombard Staked BTC,LBTC,lombard-staked-btc
KLAUS,KLAUS,KLAUS,klaus
ODOS,ODOS,ODOS,odos
APEX,ApeX,APEX,apex-token-2
XBG,XBorg,XBG,xborg
WXM,WeatherXM,WXM,weatherxm-network
BROBROTHECAT,Bro the cat,BRO,bro-the-cat
ESTEE,Estee,ESTEE,estee
HANA,Hana,HANA,hana
PAJAMAS,Pajamas Cat,PAJAMAS,pajamas-cat
BASEDAI,BasedAI,BASEDAI,basedai
DGDEGATE,DeGate,DG,degate
MOODENG,Moo Deng,MOODENG,moo-deng
BENDOG,Ben the Dog,BENDOG,ben-the-dog
DERIVE,Derive,DERIVE,lyra-finance
USUAL,Usual,USUAL,usual
ZKL,zkLink,ZKL,zklink
AARK,Aark Digital,AARK,aark-digital
NUTS,Thetanuts Finance,NUTS,thetanuts-finance
DASH,Dash,DASH,dash
XEM,NEM,XEM,nem
WAVES,Waves,WAVES,waves
NEO,Neo,NEO,neo
ZEC,Zcash,ZEC,zcash
MKR,Maker,MKR,maker
LRC,Loopring,LRC,loopring
MANA,Decentraland,MANA,decentraland
ENJ,Enjin Coin,ENJ,enjincoin
SNX,Synthetix,SNX,havven
XDC,XDC Network,XDC,xdce-crowd-sale
RUNE,THORChain,RUNE,thorchain
GT,GateToken,GT,gatechain-token
CELO,Celo,CELO,celo
AXS,Axie Infinity,AXS,axie-infinity
AMP,Amp,AMP,amp-token
ZEN,Horizen,ZEN,zencash
NMR,Numeraire,NMR,numeraire
REQ,Request,REQ,request-network
POLY,Polymath,POLY,polymath
ONT,Ontology,ONT,ontology
ONG,Ontology Gas,ONG,ong
ONE,Harmony,ONE,harmony
CHR,Chromia,CHR,chromaway
COTI,COTI,COTI,coti
KDA,Kadena,KDA,kadena
SRM,Serum,SRM,serum
GLMR,Moonbeam,GLMR,moonbeam
BTCST,Bitcoin Standard Hashrate Token,BTCST,btc-standard-hashrate-token
NFT,APENFT,NFT,apenft
BTRST,Braintrust,BTRST,braintrust
ELF,aelf,ELF,aelf
SURE,inSure DeFi,SURE,insure
DEP,DEAPcoin,DEP,deapcoin
CFG,Centrifuge,CFG,centrifuge
HBTC,Huobi BTC,HBTC,huobi-btc
ACH,Alchemy Pay,ACH,alchemy-pay
XPRT,Persistence,XPRT,persistence
PYR,Vulcan Forged PYR,PYR,vulcan-forged
BSW,Biswap,BSW,biswap
CULT,Cult DAO,CULT,cult-dao
T,Threshold,T,threshold-network-token
ERG,Ergo,ERG,ergo
NKN,NKN,NKN,nkn
META,Metadium,META,metadium
ABBC,ABBC Coin,ABBC,alibabacoin
MBL,MovieBloc,MBL,moviebloc
DUSK,Dusk Network,DUSK,dusk-network
ALEPH,Aleph.im,ALEPH,aleph
DKA,dKargo,DKA,dkargo
DPI,DeFi Pulse Index,DPI,defipulse-index
TITAN,TitanSwap,TITAN,titanswap
CORE,cVault.finance,CORE,coredaoorg
POND,Marlin,POND,marlin
BADGER,Badger DAO,BADGER,badger-dao
AMA,Mrweb Finance,AMA,mrweb-finance-2
KAR,Karura,KAR,karura
VEGA,Vega Protocol,VEGA,vega-protocol
SSV,ssv.network,SSV,ssv-network
BCD,Bitcoin Diamond,BCD,bitcoin-diamond
TROY,TROY,TROY,troy
HNS,Handshake,HNS,handshake
BEL,Bella Protocol,BEL,bella-protocol
TRU,TrueFi,TRU,truefi
TVK,Virtua,TVK,the-virtua-kolect
JASMY,JasmyCoin,JASMY,jasmycoin
CEUR,Celo Euro,CEUR,celo-euro
GTC,Gitcoin,GTC,gitcoin
SPS,Splintershards,SPS,splinterlands
RMRK,RMRK,RMRK,rmrk
REI,REI Network,REI,rei-network
WORMHOLE,Wormhole,W,wormhole
ALEO,Aleo,ALEO,aleo
SEI,Sei Network,SEI,sei-network
FUEL,Fuel Network,FUEL,fuel-network
BONE,Bone ShibaSwap,BONE,bone-shibaswap
BRISE,Bitgert,BRISE,bitrise-token
GMX,GMX,GMX,gmx
GNS,Gains Network,GNS,gains-network
BEND,BendDAO,BEND,benddao
GEAR,Gearbox Protocol,GEAR,gearbox
PINE,Pine,PINE,pine
DEFI,De.Fi,DEFI,de-fi
STAN,Stanley Cup Coin,STAN,stanley-cup-coin
SAVM,SatoshiVM,SAVM,satoshivm
ANDR,Andromeda,ANDR,andromeda-2
PYI,PYRIN,PYI,pyrin
TRADE,Polytrade,TRADE,polytrade
MOZ,Mozaic,MOZ,mozaic
WNT,Wicrypt,WNT,wicrypt
ZIG,Zignaly,ZIG,zignaly
SLEEPLESSAI,Sleepless AI,AI,sleepless-ai
BABYGROK,Baby Grok,BABYGROK,baby-grok
MORPHO,Morpho Network,MORPHO,morpho
GURUDAO,Guru Network,GURU,guru-network
HEART,Humans.ai,HEART,humans-ai
ZBC,Zebec Protocol,ZBC,zebec-protocol
COPI,Cornucopias,COPI,cornucopias
CAPS,Ternoa,CAPS,coin-capsule
SIPHER,Sipher,SIPHER,sipher
GSWIFT,GameSwift,GSWIFT,gameswift
AHT,AhaToken,AHT,ahatoken
BFIC,Bficoin,BFIC,bficoin
WSM,Wall Street Memes,WSM,wall-street-memes
CGPT,ChainGPT,CGPT,chaingpt
TURBO,Turbo,TURBO,turbo
ULTIMA,Ultima,ULTIMA,ultima
ADF,Art de Finance,ADF,art-de-finance
SDAO,SingularityDAO,SDAO,singularitydao
ALU,Altura,ALU,altura
NFP,NFPrompt,NFP,
MIM,Magic Internet Money,MIM,magic-internet-money
MNW,Morpheus.Network,MNW,morpheus-network
DYMENSION,Dymension,DYM,dymension
IOT,Helium IOT,IOT,helium-iot
UWU,UwU Lend,UWU,uwu-lend
COREUM,Coreum,COREUM,coreum
NIZA,Niza Global,NIZA,niza-global
LADYS,Milady Meme Coin,LADYS,milady-meme-coin
TOSHI,Toshi,TOSHI,toshi
PORTAL,Portal,PORTAL,portal-2
OX,Open Exchange Token,OX,open-exchange-token
CTXC,Cortex,CTXC,cortex
PLANET,PLANET,PLANET,planet-token
SEAM,Seamless Protocol,SEAM,seamless-protocol
10SET,Tenset,10SET,tenset
DEL,Decimal,DEL,decimal
POLIS,Star Atlas DAO,POLIS,star-atlas-dao
HAIR,HairDAO,HAIR,hairdao
TRACBRC,TRAC (Ordinals),TRAC,trac
ETHW,EthereumPoW,ETHW,ethereum-pow-iou
NXRA,AllianceBlock Nexera,NXRA,allianceblock-nexera
ORBR,Orbler,ORBR,orbler
FDUSD,First Digital USD,FDUSD,first-digital-usd
RAIL,Railgun,RAIL,railgun
NVIR,NvirWorld,NVIR,nvirworld
MCADE,Metacade,MCADE,metacade
JOY,Joystream,JOY,joystream
ETE,Ethereum Express,ETE,ethereum-express
OFN,Openfabric AI,OFN,openfabric
SAKAI,Sakai Vault,SAKAI,sakai-vault
VRTX,Vertex Protocol,VRTX,vertex-protocol
CQT,Covalent,CQT,covalent
UNIBOT,UniBot,UNIBOT,unibot
DVF,Rhino.fi,DVF,rhinofi
EPX,Ellipsis,EPX,ellipsis-x
ASM,Assemble Protocol,ASM,assemble-protocol
MCO2,Moss Carbon Credit,MCO2,moss-carbon-credit
BLAST,Blast,BLAST,blast
INV,Inverse Finance,INV,inverse-finance
AVT,Aventus,AVT,aventus
ERN,Ethernity Chain,ERN,ethernity-chain
MUSE,Muse DAO,MUSE,muse-2
JUP,Jupiter,JUP,jupiter-exchange-solana
HIFI,Hifi Finance,HIFI,hifi-finance
VSP,Vesper,VSP,vesper-finance
VITA,VitaDAO,VITA,vitadao
SWISE,StakeWise,SWISE,stakewise
ZETA,ZetaChain,ZETA,zetachain
SDL,Saddle,SDL,saddle-finance
NDX,Indexed Finance,NDX,indexed-finance
FLX,Reflexer Ungovernance Token,FLX,reflexer-ungovernance-token
EUL,Euler,EUL,euler
DODO,DODO,DODO,dodo
CTX,Cryptex Finance,CTX,cryptex-finance
APW,Spectra,APW,apwine
ANGLE,Angle,ANGLE,angle-protocol
DIMO,DIMO,DIMO,dimo
XRD,Radix,XRD,radix
STEMX,STEMX,STEMX,stemx
SDEX,SmarDex,SDEX,smardex
HFT,Hashflow,HFT,hashflow
PI,Pi Network,PI,pi-network-iou
HOOK,Hooked Protocol,HOOK,hooked-protocol
EGLD,MultiversX,EGLD,elrond-erd-2
GALA,Gala,GALA,gala
USTC,TerraClassicUSD,USTC,terrausd
LDO,Lido DAO,LDO,lido-dao
APE,ApeCoin,APE,apecoin
BNT,Bancor,BNT,bancor
SNT,Status,SNT,status
STORJ,Storj,STORJ,storj
MED,MediBloc,MED,medibloc
TEL,Telcoin,TEL,telcoin
REN,Ren,REN,republic-protocol
LPT,Livepeer,LPT,livepeer
BORA,BORA,BORA,bora
TFUEL,Theta Fuel,TFUEL,theta-fuel
NU,NuCypher,NU,nucypher
HIVE,Hive,HIVE,hive
SUSHI,SushiSwap,SUSHI,sushi
ROSE,Oasis Network,ROSE,oasis-network
API3,API3,API3,api3
KNC,Kyber Network Crystal v2,KNC,kyber-network-crystal
SPELL,Spell Token,SPELL,spell-token
ENS,Ethereum Name Service,ENS,ethereum-name-service
RPL,Rocket Pool,RPL,rocket-pool
MVL,MVL,MVL,mass-vehicle-ledger
LUNC,Terra Classic,LUNC,terra-luna
NEST,NEST Protocol,NEST,nest
USDX,USDX [Kava],USDX,usdx
BRG,Bridge Oracle,BRG,bridge-oracle
LQTY,Liquity,LQTY,liquity
ILV,Illuvium,ILV,illuvium
METIS,MetisDAO,METIS,metis-token
FRTS,Fruits,FRTS,fruits
AURORA,Aurora,AURORA,aurora-near
ARK,Ark,ARK,ark
RLC,iExec RLC,RLC,iexec-rlc
ANT,Aragon,ANT,aragon
VERI,Veritaseum,VERI,veritaseum
ADS,Adshares,ADS,adshares
ETN,Electroneum,ETN,electroneum
LOOM,Loom Network,LOOM,loom-network-new
LOCUS,Locus Chain,LOCUS,locus-chain
TLOS,Telos,TLOS,telos
BAND,Band Protocol,BAND,band-protocol
HUNT,HUNT,HUNT,hunt-token
SSX,SOMESING,SSG,somesing
YFII,DFI.Money,YFII,yfii-finance
AXEL,AXEL,AXEL,axel
PERP,Perpetual Protocol,PERP,perpetual-protocol
GHST,Aavegotchi,GHST,aavegotchi
MPL,Maple,MPL,maple
FORTH,Ampleforth Governance Token,FORTH,ampleforth-governance-token
XCAD,XCAD Network,XCAD,xcad-network
DESO,Decentralized Social,DESO,deso
BLZ,Bluzelle,BLZ,bluzelle
RFR,Refereum,RFR,refereum
UPP,Sentinel Protocol,UPP,sentinel-protocol
LTO,LTO Network,LTO,lto-network
COS,Contentos,COS,contentos
HARD,Kava Lend,HARD,kava-lend
SFP,SafePal,SFP,safepal
FOX,Shapeshift FOX Token,FOX,shapeshift-fox-token
ALCX,Alchemix,ALCX,alchemix
WILD,Wilder World,WILD,wilder-world
LAT,PlatON,LAT,platon-network
HERO,Metahero,HERO,metahero
ONUS,ONUS,ONUS,onus
ATOLO,RIZON,ATOLO,rizon
RSS3,RSS3,RSS3,rss3
XPLL,Parallel Chain,XPLL,parallelchain
ZKSYNC,zkSync,ZK,zksync
STARKNET,StarkNet,STRK,starknet
NEON,Neon,NEON,neon
HIGH,Highstreet,HIGH,highstreet
XMON,XMON,XMON,xmon
MNDE,Marinade,MNDE,marinade
QUICK,QuickSwap,QUICK,quickswap
UNICHAIN,Unichain,UNICHAIN,
VIRTUALECOSYSTEM,VIRTUALECOSYSTEM,VIRTUALECOSYSTEM,
RUJI,Rujira,RUJI,rujira
GUN,Gunz,GUN,gunz
PARTICLEPARTICLENETWORK,Particle Network,PARTI,particle-network
ONEKEY,OneKey,ONEKEY,
ZKPASS,zkPass,ZKPASS,
TREEHOUSE,Treehouse,TREEHOUSE,
IRREDUCIBLE,Irreducible,IRREDUCIBLE,
FERMAH,Fermah,FERMAH,
BOBBOB,BOB,BOB,
ORBITER,Orbiter Finance,ORBITER,orbiter-finance
POWERLOOM,Powerloom Protocol,POWERLOOM,powerloom
MIDNIGHT SOCIETY,Midnight Society,MIDNIGHT SOCIETY,
VIRTUAL,Virtuals Protocol,VIRTUAL,virtual-protocol
MPC,Partisia Blockchain,MPC,partisia-blockchain
5IRE,5ire Chain,5IRE,5ire
ALT,Alitas,ALT,alitas
FWT,Freeway Token,FWT,freeway
AVA,Travala.com,AVA,
NSBT,Neutrino Token,NSBT,neutrino-system-base-token
BAKE,BakeryToken,BAKE,bakerytoken
COCOS,Cocos-BCX,COCOS,
WXT,Wirex Token,WXT,wirex
GTN,GlitzKoin,GTN,glitzkoin
RACA,RadioCaca,RACA,radio-caca
VTHO,VeThor Token,VTHO,vethor-token
PLA,PlayDapp,PLA,playdapp
CHSB,SwissBorg,CHSB,swissborg
USDC,USD Coin,USDC,usd-coin
SAND,The Sandbox LAND,SANDBOX,the-sandbox
ESCE,Escroco Emerald,ESCE,
BXC,Bitcoin Classic,BXC,
VRSC,VerusCoin,VRSC,verus-coin
BTCP,Bitcoin Palladium,BTCP,
ALEX,Alex,ALEX,alexgo
GOMINING,Gomining,GOMINING,gmt-token
CETH,Compound ETH,CETH,compound-ether
DATA,Streamr,DATA,streamr
CHNG,Chainge,CHNG,chainge-finance
NEER,Metaverse.Network Pioneer,NEER,metaverse-network-pioneer
CHEX,CHEX Token,CHEX,chex-token
ANDY,ANDY ETH,ANDY,andy-the-wisguy
FLAPPY,Flappy,FLAPPY,flappy
ELU,Elumia,ELU,elumia
PEPO,Peepo,PEPO,peepo-eth
ONDO,Ondo Finance,ONDO,ondo-finance
PEARPEARPROTOCOL,Pear Protocol,PEAR,pear-protocol
VET,VeChain,VET,vechain
PEAR,Pear Protocol,PEAR,pear-protocol
TIG,The Innovation Game,TIG,the-innovation-game
SOLV,Solv Protocol,SOLV,solv-protocol
FIL,Filecoin,FIL,filecoin
APT,Aptos,APT,aptos
AVAX,Avalanche,AVAX,avalanche-2
DAI,Dai,DAI,dai
BCH,Bitcoin Cash,BCH,bitcoin-cash
BTC,Bitcoin,BTC,bitcoin
KAS,Kaspa,KAS,kaspa
CCXX,Counos X,CCXX,counosx
GRAPE,Grape Coin,GRAPE,
ANOMA,Anoma Network,ANOMA,
PLTC,PlatonCoin,PLTC,
SHC,ShahramCoin,SHC,
KALI,Kali DAO,KALI,
IMMUNEFI,Immunefi,IMMUNEFI,
FLASHBOTS,Flashbots,FLASHBOTS,
